question,answer,partners_personnel_selected
"Please provide relevant information about any lawsuits, liens, foreclosures, or other legal/financial actions that are pending, in progress, or which have been brought against the company or any of its officers/principals in the past three years.		",,0
"Please describe your Human Resource processes for attracting and retaining top talent. Also describe the processes you use to ensure the accuracy of your employees credentials.		","Our recruitment strategy and approach revolve around building a robust pool of qualified candidates for a variety of positions. To expand our candidate search, we engage in direct field recruiting and establish relationships with community organizations (COIs). We also extend our office hours to accommodate potential applicants. In addition, we offer referral bonuses to incentivize our employees and partners to recommend suitable candidates. To reach a broader audience, we leverage the effectiveness of popular job boards such as Indeed, CareerBuilder, and ZipRecruiter. Furthermore, we organize regular job fairs and conduct on-site recruitment, often collaborating with companies that are downsizing to provide opportunities for displaced employees.
Our comprehensive selection process begins with behavior-based interviews, which allow us to assess candidates thoroughly. We also administer skill assessments tailored to the specific job duties. To ensure the suitability of applicants, we conduct reference checks, verify education credentials, perform background checks, and implement drug screening procedures. In some cases, client-specific testing criteria, vision assessments, or health evaluations may also be conducted. During the interview process, we closely evaluate previous work history, any gaps in employment, and the candidate's attentiveness to detail.
As part of our assessment, each applicant completes an Essential Functions worksheet, allowing us to gauge their ability to meet the physical requirements of the position. By familiarizing ourselves with our customers' company culture, expectations, and standard operating procedures (SOPs), we are better equipped to determine the optimal candidate match for each role.
Overall, our approach prioritizes diligent candidate screening, thorough assessments, and a deep understanding of our customers' needs to ensure we provide the most suitable candidates who align with their organizational culture and expectations.",0
"Can you commit to meet emergency requests and/or urgent ad-hoc requests from Segra?		","Yes, Depends on each site. Minimum lead times will depend on how many associates are requested.						",0
"Describe your background check & drug screening process? Which company do you use to screen employees? Minimum Segra requirements are SSN Trace, County Criminal Records Search, Federal Criminal Records Search, Nationwide Criminal w/Alias including Sex offender, Nationwide criminal (PS), Panel 1205 9-Panel Drug Test. (These requirements are based on current Segra standards and are subject to change in future)","Partners Personnel standardly conducts background screenings from the Federal, National, State, County and City levels. Additionally we screen SSI and other customized client specific screenings. To alllow full compliance with your staffing expectations, we can make your requirements manadotry in our system. This will prevent inappropriate placement of associates who do not have your specified criteria.",0
Please indicate how much lead time you would need from Segra in order to provide temporary services staff.,Typically we ask for a 24-48 hour lead time to find a quality associate.,0
What is your process to resolve customer quality issues? Describe the process you have in place for removal of an non-performing temporary staffing resource? ,"Partners Personnel maintains a consistent practice of conducting quality checks whenever an associate is initially assigned to a job, ensuring compatibility between both our customer and the associate. This procedure aims to guarantee a suitable match for both parties. In the event of receiving feedback indicating a lack of quality in a worker, Partners Personnel takes immediate action to identify a more suitable candidate for the position. This may involve contacting the designated point of contact to ensure our screening process aligns with their expectations.

To address the issue of underperforming temporary associates, Partners Personnel collaborates with the customer to thoroughly investigate the situation and determine the most appropriate course of action. This may include, but is not limited to, the removal of the associate from their current position.",0
"What is your process for handling distribution of equipments/laptops as part of employee on-boarding process?. Do you expect Segra to provide those equipmnents or will it be provided by your company? If provided by your company, are there any additional cost associated with it?",Partners Personnel will not be providing the equipment,0
"In future, Segra may utilize a Vendor Management System (VMS) and will be a supplier funded model (expected fee of 2%) . Please confirm acceptance to be part of that system.","Yes, confirming acceptance",0
What would be the % mark-up for temp staff not recruited by vendor (recruiting by Segra) but on-boarding & other process is handled by vendor?,0.38,0
"If selected as preferred vendor, your company will be part of the VMS scorecarding system (KPI tracking). Please confirm acceptance of the same.","Yes, confirming acceptance",0
"Would you be able to provide reporting with visibility to the number of hours, pay rates, bill rates, mark-up percent, total spend, etc. at an individual employee level?. Please confirm you would be able to furnish this report on a monthly basis","Yes, confirming",0
Provide a brief of company history and number of employees,545 employees,0
What logical or physical access to Segra information or facilities will your company require access to? ,None,0
Are there any major mergers and acquisitions?,No,0
"Are there any owners with greater than 10% ownership who are non-US entities? If Yes, please identify",No,0
"Are there any non-US based operations that pertain to the service or product being offered to Segra? If Yes, please identify",No,0
Is your company subject to regulatory oversight?,No,0
Are Security/Compliance reports publicly available?,No,0
Will there be physical access to Segra network?,No,0
"Within the Questionnaire, for the controls where response is ""Yes"" ,are they  audited on a regular basis? ",Yes,0
"Are there physical security mechanisms in place that prevent unauthorized access to your office space, user workstations, and server rooms/data centres? Please explain",N/A,0
Do secure areas have suitable entry control systems to ensure only authorised personnel(Inc Contractors) have access? Please explain,N/A,0
"Is there a designated security perimeter? (i.e. gates, secure vehicle access, security cameras, etc.) ",N/A,0
"Have measures to protect your systems from environmental hazards such as fire, smoke, water, vibration, electrical supply interfaces, and dust been designed in? Please explain",N/A,0
Are logs maintained that record all changes to information systems?,N/A,0
Is there a process for authorizing and controlling how assets/equipment are removed from site? Please explain,N/A,0
"After access validation, is there someone(Security guard/receptionist) to escort the personnel to the intented place?",N/A,0
Is the fire fighting system tested periodically?,N/A,0
Is there an uninterruptible power supply(UPS) mechanism / Power Generator in place which has been tested within an appropriate timescale?,N/A,0
Is there a documented access control policy available? Is it based on Business requirements and communicated appropriately? Please explain,N/A,0
"Is there standards-based federated ID capability available to clients (e.g., SAML, OpenID, Single Sign On)? Please explain",N/A,0
Are privileged access accounts separately managed and controlled?,N/A,0
Does your organization apply/enforce the principles of least privilege and need-to-know to access management practices?,N/A,0
is there formal user registration process include using unique user ID's so that users can be linked to and made responsible for their actions and the use of group ID's should only be permitted where they are suitable for the work carried out. Please explain,N/A,0
"Are there procedures to verify or identity  a user prior to providing a new, replacement or temporary password?",N/A,0
"Are there any default accounts (e.g., ""Administrator"", root, and generic guest/system accounts) for systems that house Segra data?  If yes, are they disabled? ",N/A,0
"Is there a process to ensure user access rights are removed on termination of employment or contract, or adjusted upon change of role?",N/A,0
Are there periodic audits performed on the user access profiles?,Yes,0
"Is there a password policy framework in place for strong passwords, Changing passwords at regular intervals, Unsuccesfull attempt lockout etc?",Yes,0
"Is two factor authentication required to access the production environment containing sensitive services, functions, and environments? 
(Ex: VPN/Remote access, Priveleged system access,  Data access)",No,0
Are unsuccessful attempts to gain access to the work stations being logged and periodically analyzed?,N/A,0
Is there a secure procedure for the storage and maintenance of Administrator logs?,N/A,0
Are the system administrator activities on firewall and other network elements being logged and monitored?,N/A,0
Are controls in place to ensure users only have access to the network resources they have been specially authorised to use and are required for their duties?,N/A,0
Is there a configuration management document for servers and network? Does this document capture all the secure settings and application specific settings? Please explain,Yes,0
Is there a formal policy requiring compliance with software licenses and prohibiting the use of unauthorized software?,N/A,0
Is the appropriate anti-virus software deployed and regularly updated? How often do updates occur? Please explain,Yes,0
Are critical system files and folders protected with requisite permissions? i.e. Access to critical system files/folders should be allowed only to essential authorized users as improper configuration could result in system compromise.,Yes,0
Are guest accounts disabled in the User machines?,N/A,0
Is the Password protect option enabled and configured correctly during inactivity after a set time?,N/A,0
"Is there a defined, implemented, and communicated end-to-end system development methodology in place?",N/A,0
Are applications designed in accordance with industry accepted security standards and comply with applicable regulatory and business requirements?,N/A,0
"Is production data sanitized of any confidential and sensitive (e.g., PHI, PCI, PII) information prior to use in testing environments?",N/A,0
Is the internet access to users controlled by a central gateway and routed through a proxy server?,N/A,0
Do all network ACLs and firewalls explicitly deny traffic flow by default?,Yes,0
"Does outbound web traffic get scanned for malware, malicious/blacklisted sites and Data policy violations, with any authorized exclusions documented?",N/A,0
Are all connections with external networks terminated at a firewall?,N/A,0
Do vulnerability scanning/management processes include Network Devices?,N/A,0
Is access to diagnostic or maintenance ports on network devices restricted to users with authorized credentials and only from trusted sources?,N/A,0
Are regular scans performed to discover rogue wireless access points?,N/A,0
Is there a process of review of security logs? Please explain,Yes,0
"Is there remote access to the network and systems hosting Segra data? If yes, describe the security protocols (e.g., multi-factor authentication) used to secure external access and remote authentication to Segra data and other internal organization technology assets. ",N/A,0
"Is the network used for providing service to Segra, logically and physically segregated i.e. Environment at the service provider premises must be compartmentalized, separating it from the rest of the provider's environment to ensure no penetration is possible from other client environments or from the provider's wider network. - if vendor does not have access to Segra network then put ""N/A""",N/A,0
"Is access to the systems housing Segra data restricted using virtual LAN's (VLANs), a demilitarized zone (DMZ) or other network-based controls? Please explain",N/A,0
"Is direct access between the Internet and Segra relevant systems restricted securely? If not, please describe mitigating controls (e.g., NAC). Please provide a brief description of relevant network controls. ",N/A,0
Is sensitive Segra data sent over the Internet (e.g. web applications or interfaces) protected by Secure Sockets Layer (SSL) or Transport Layer Security (TLS) protocols? Please explain,N/A,0
Is there a  process for conducting periodic penetration testing and /or vulnerability assessment of your network and applications? Please share latest results,N/A,0
Is there a process to track assessed security vulnerabilities through the remediation lifecycle? Please explain,N/A,0
Is there an Email security policy to define safe acceptable  email usage by employees.,N/A,0
Are user e-mail accounts at the Vendor facility created after necessary management / HR approvals?,N/A,0
Are there well-documented procedures for disabling or removing e-mail accounts after the employee leaves the vendor premises?,N/A,0
"Are the e-mail accounts shared between users? If Yes, explain how is Accountability handled?",No,0
Are the mail attachments scanned for Virus and other malicious content?,Yes,0
Does e-mail communication from the vendor include a standard disclaimer as a part of the contents?,Yes,0
"Does your organization have a Backup, Restoration, Retention Policy or Standard that  has been approved by management, communicated to constituents and an owner to maintain and review?
If yes, does it include:
1.Periodic testing of restoration capability?
2.Encryption/hashing of backups? 
3.Data destruction/sanitization of backup media content prior to media decommission or in the event of media failure?
4.Ability to remove Segra data from all backups upon request or end of contracted services?
5.Upon request or end of contracted services, are you able to provide attestation detailing how Segra information, including logs, metadata, etc.... have been completely removed from all hardware devices and storage media? Please explain",Yes,0
"Are there formal procedures for reporting incidents like:
- Security Incidents
- Security Weakness
- Software Malfunctions
- Malicious Software etc
to Segra? i.e.
Segra should be informed of all security incidents at the Vendor premises. Please provide a copy of your incident response plan.",Yes,0
"Is there internal and public notification procedures in place for reporting data security and privacy related incidents to appropriate authorities and stakeholders (e.g., ES-ISAC, US-CERT, law enforcement, business partners, customers, etc.) in the event of an incident?",N/A,0
Is there a formal disciplinary process for dealing with employees who have allegedly violated Company security policies and procedures?,N/A,0
"Is there a documented detailed procedure for identifying of changes to be notified to Segra, sending an approval request & communication process? Please explain",N/A,0
Does the vendor organization maintain Audit Trail of all the change requests?,Yes,0
"Is there an established segregation of Change roles (Requestor, Implementor, Approvers, Acceptance Testing, etc.)?",Yes,0
Are formal Information Security risk assessments performed prior to the introduction of new systems or significant/material Changes?,Yes,0
"Are processes in place to restrict any changes to Segra infrastructure, configurations, and/or data without explicit approvals from Segra?",N/A,0
"Does your organization conduct post implementation reviews for emergency, high impact, and failed or problematic changes?",Yes,0
Is there a documented process for handling emergency changes to ensure they are carried out in controlled & timely manner?,Yes,0
"Are pre-employment background checks conducted for all new hired employees and contractors upon hire? 
Please describe what checks are performed (e.g. Credit, Criminal, References, Employment/Education History, etc.)",Yes,0
Is there a well defined  formal disciplinary process for employees who have committed a security breach?,N/A,0
"Are all employees, contractors and third party users asked to sign confidentiality and non- disclosure agreements?",Yes,0
Is there a documented process for terminating or changing employment duties?,Yes,0
Are any information security duties which survive employment communicated to the employee or contractor?,N/A,0
Is Information Security training a part of induction?,N/A,0
Are there periodic trainings and awareness programs organized to convey the criticality of data being handled at the premises?,N/A,0
Does the organization have a documented and approved Information Security Policy?  Please provide a copy.,Yes,0
"Is the Information Security Policy aligned to industry standards and/or frameworks (e.g. NIST CSF, ISO27001, COBIT, etc.)? 
If yes, please describe.",No,0
"Are your organization's Information Security Policies, Standards, Guidelines, and Operating Procedures reviewed/refreshed periodically? 
Explain frequency of review(s) and who performs/approves.",Yes,0
Is there a designated leader responsible for information security and data privacy? Please provide the title,Yes,0
"Is there a formal and well defined security and privacy related reporting process to Management and oversight groups? If yes, please explain the process?",Yes,0
Are there evidences for any internal audits for verifying the strength of internal processes?,Yes,0
Does your organization utilize third party suppliers who will have access to Segra data or the underlying systems? ,N/A,0
"Does the contractual agreement with fourth parties include information security requirements including confidentiality/non-disclosure?
",N/A,0
Do you take necessary approvals from Segra before sharing Segra's information including PII with fourth parties?,N/A,0
Do you perform periodic information security risk assessments on the fourth party vendors to evaluate their security posture? ,N/A,0
"Does your organization work with HIPAA compliant data? If yes, has it signed any Business Associate Agreements (BAA) for its customers?",No,0
"Are asset inventories maintained consistently for the following types of assets (but not limited to):
- Information Assets
- Software Assets
- Technical Physical Assets
- Service Assets
- People
- Facilities

Are asset inventories defined, reviewed and updated (at least) on an annual basis for all categories of assets? Please explain",N/A,0
Is an Automated asset inventory discovery tool used to inventory devices on the network?,N/A,0
Is there an Asset Management Policy or Standard approved by management and communicated to asset owners/managers?,N/A,0
Is the inventory updated regularly to reflect changes to the lifecycle of all assets and associated configurations?,N/A,0
"Is there a process in place to ensure all employees and external users return the organization's assets on termination of their employment, contract or agreement?",N/A,0
Is there a policy in place for employees and/or subcontractors who access Segra data defining how mobile devices are controlled and managed as part of your asset inventory?,N/A,0
Is all sensitive or highly confidential data encrypted/hashed at rest? (including data and passwords). Please explain encryption technology,N/A,0
Is data-in-memory protected using encryption/hashing methods? Please explain encryption technology,N/A,0
"Are data privacy management  requirements, processes, procedures, and technical measures defined, implemented, and evaluated?",N/A,0
"Does your organization permit the use of PII/PCI/CPNI/PHI related Segra data in hardcopy? If yes, please describe the controls in place to control and protect sensitive data in hardcopy format.",N/A,0
Is there a process to secure and cleanse Segra data on electronic and hard copy media that is to be disposed or re-used. Is electronic media degaussed and physically destroyed prior to final disposal?,N/A,0
"Is a formally documented data privacy policy/standard in place covering collection, use, retention, disposal and security of personal information which is reviewed on a periodic basis at least annually and communicated to all the relevant stakeholders? Please provide copy of data privacy and Information security policies",Yes,0
"Is  a regulatory data privacy and data security compliance assessment against the applicable global and domestic data privacy and data security related regulations performed regularly? If Yes, what is the current status of the compliance assessment noted above? Please provide evidence",No,0
Are exceptions to security policies and procedures justified and documented?   ,N/A,0
Is there procedures in place for handling secure disposal and or return of the customer data upon request or in the case of termination of services? Please explain,N/A,0
"Are there mechanisms in place to enforce data segregation between:
a)Segra's and other tenants in a multi-tenant environments
b)Segra's and the vendor's internal cloud computing environment
Please provide details",N/A,0
Is monitoring in place for cloud administrators copying customer data into the corporate network? Please explain,N/A,0
"Are services provided to Segra covered under scope of BCP? If yes, Please explain(including frequency of testing, review, and update of plans and remediation of concerns identified in testing)",N/A,0
"Does your organization have a documented information security policy? Please list the names of the policies, the last reviewed date, and the name and title of the approver",Yes,0
"Is there a process to review and update security policies? If Yes, What was the last review date?",Yes,0
"Is there a dedicated resource responsible for security policy development, maintenance, and issuance?",Yes,0
Is a complete set of your organisation's security policies available for review?,Yes,0
Does your company have ISO 9000 or ISO 27001 or SOC Certifications? Please explain,Yes,0
"What are the top 3 challenges your agency is facing (e.g., temp labor market, placements, staffing availability)? And how are you addressing these challenges?","1) Retention. (Solution - we provide FREE healthcare to all associates - with automatic enrollment for this benefit
2) Market Pay Rates. (Solution - Regular wage analysis and pay data review)
3) Safety Risk Reduction. (Solution - regular review of sites for safety, best practices and continuous education)",0
Parent Company (if any),Esperer,0
"Ownership Structure (family owned, PE, public)",Family Owned,0
Website,Partnerspersonnel.com,0
Who do you see as your 3 most critical competitors?,"Adecco, Randstad, Staffmark",0
"Will your agency conduct I-9, E-Verify, or other employment verification?",Yes - We have regular inhouse audits of all field offices from our corporate compliance department.,0
What screening criteria and methodology will be used?,"Partners Personnel standardly conducts background screenings from the Federal, National, State, County and City levels. Additionally we screen SSI and other customized client specific screenings ",0
"Radial expects agencies to conduct a 4-panel drug screen that excludes Marijuana. If this is an issue, please indicate this here.",Partners Personnel will mirror Radial's expectation of a 4-panel drug screen that excludes Marijuana. ,0
Does your firm engage in any additional screening behind employment verification and background checks?,"Partners Personnel conducts Integrity testing, workplace safety training and testing, forklift safety videos and testing. Additionally, we conduct client specific orientations and customize our screening processes to the requirements of our customers.",0
"Do your call center figures include associated equipment (computer, headset, etc.)? Or will Radial need to provide equipment?","Radial will need to provide their own equipment or depending upon the program and needs, Partners Personnel may require that associates provide their own computer, headsets, etc.   ",0
What is your firm offering that will enable Radial to improve (cost) competitiveness? What differentiates you from your competitors?,"""We are committed to doing the right thing even when it's not easy. Integrity to us means being honest, trustworthy, and ""doing right"" by our associates and clients by making and keeping commitments. Building partnerships of trust with all stakeholders aligns with our purpose of helping people and organizations improve. We partner with our clients, our associates and each other to create the greatest value possible. Each member of the Partners team is empowered with ownership, while being held accountable to ourselves and our customers. We recognize that both our clients and our associate employees are our customers and of essential importance.  We are committed to developing personalized relationships with all customers to understand and fulfill their needs.

The company's key innovation is its focus on associate development for the benefit of the client. It seeks long-term, mutually beneficial relationships with associates to help them get the best jobs and to improve their everyday lives. In alignment with its emphasis on associate welfare, the company provides a certified MEC healthcare plan at no out-of-pocket cost for all associates, and it is currently developing a comprehensive certification and education advancement program through Partners Academy on its proprietary LMS platform. These associate-focused innovations ensure that clients receive the best talent to help them grow their businesses, resulting in a two-way, symbiotic synergy that helps both customer sets improve, grow, and achieve their goals. 
Partners is deeply committed to a human-centric approach in the design of its recruitment funnel and strategy. This approach is embodied in a unique trifecta of specializations: the Recruiting Specialist, Client Specialist, and Partnership Specialist. Recruiting Specialists are focused on building relationships with candidates in local markets and on supporting them through the recruitment and onboarding process. Client Specialists develop a thorough understanding of the client's business goals and staffing needs, match associates with assignments, and follow up with both parties to ensure high-quality engagement. Partnership Specialists are dedicated onsite staff members who exclusively work with Premier Partnership clients and associates. Acting as a liaison between the branch and the client, they manage large onsite accounts of 50-plus associates and consistently make themselves available to both associates and the client. 
The three Specialist roles are supported by three groups: an Implementation Team, Recruiting Support Team, and Regional Marketing Partners. These groups are dedicated to assisting the branches where and when it matters most. The Implementation Team is a group of highly skilled staffing professionals who are the first ""boots on the ground"" onsite to ensure a smooth transition into the Partners Program. The Recruiting Support Team consists of remote and travelling recruiters who supplement local team efforts, including after hours. Regional Marketing Partners (RMPs) are highly skilled recruitment marketing experts. They strategize, create, execute, and optimize digital recruitment strategies to fill the top of the recruitment funnel. RMPs are dedicated to their specific markets and are tasked to thoroughly understand and implement the best recruitment strategies in each market. With this support, local teams can spend more quality time and build stronger relationships with candidates and associates. The results are happier associates, reduced absenteeism, increased performance, less turnover, and more referrals.""",0
"Please describe your reporting metrics and what software is used to report out to clients. (e.g., we track spend, hours, attrition, screening fails, punctuality, etc. that we send to each facility monthly via an Excel spreadsheet). A sample monthly business review structure with necessary fields is provided in the last tab.",Partners Personnel has the capability to report on anything. We have a dedicated Business Intelligence department that can work with you to customize all your data needs and our reports to your specific needs. ,0
"What training and recruiting software do you use? Does your offer include access to VMS software? If so, what software? Is usage of this software optional, recommended, or required?","We use an end to end talent engagement recruiting platform called tempworks. For Training, we have an internal LMS, which offers over 600 skills training courses to our temporary associates. The VMS we use is joinedup powered by Beeline and is receommnded.",0
"What does your firm do both in its operational and hiring practices to promote ESG and DEI (e.g., charity engagements, standard reports on background/nationality/gender of temp labor, inclusion training)?","""We are a company moving towards a more diverse and inclusive workplace. For Partners, Diversity, Equity, Inclusion, and Unity (DEIU) is not just a ""nice-to-have"" but rather an essential component of our ""We Are Partners"" core value and central to our mission to ""help people and organizations improve."" To that end, Partners has established a DEIU Council, whose mission is to embed these values into all aspects of the company through its people and operations to attract, engage, and advance members of all demographics, including underrepresented groups.   
IFN/Interfaith Network: The purpose of this committee is to create faith and belief-inclusive working environment for Partners colleagues.  Action: Develop training opportunities for colleagues, associates, clients. Provide opportunities for Partners colleagues and associates to learn about other employee's faith and cultural traditions. Serve community or cause through service or other IFN sponsored and organized activities
Partners has also established a Human Capital Improvement Committee/HCI.  The purpose of the Committee/The Why: To differentiate ourselves amongst staffing providers as a company that is dedicated to associate welfare in partnership with client goals and expectations-and to position ourselves as ""Human Capital Improvement Experts"" to bolster our recruiting and retention efforts.  By co-creating a customized human capital improvement plan with our clients, together, we work to improve the lives of the workers and create greater workforce stability for our clients.   
Each Committee meets monthly to continue education and have healthy discussion in hopes that everyone at Partners- and that goes out to work for Partners- gets to bring their ""whole self"" to work. """,0
"
If you were a provider of ours last season what was your turnover rate?  If you did not provide labor to us last season what is your average turnover rate?
","We were not a provider last season
YTD Turnover % 
CA Market - 44%
TX Market - 65%
NJ Market - 0% (new market)",0
"
What action or steps do you implement to retain employees throughout the season?
","Ex 1: We perform extensive screening for candidates that best match the job descriptions and are comfortable with the expectations at each site. We take care of all of our associates and over-communicate to ensure successful placement.                                                                                                                                                           
Ex 2: Employee Recognition
We are firm believers in recognizing and rewarding good behavior and have met with much success using some of these employee appreciation efforts 
-	Employee of the Month - working together with supervisory staff in identifying deserving associates each month.
-	Raffle Employee Attendance Program.  Anyone with 100% attendance with 40 hours plus in a week, raffle items (gas cards, gift cards, CASH). 
-	Employee ""Goal"" Lunch or Raffle:  When an employee or ""Team"" achieves a set goal or exceeds expectations, we would sponsor a special lunch or do a raffle for that Team. This approach can also be very effective in achieving higher attendance.
",0
"
If you were a provider of ours last season what was your monthly fill rate % of the requisitions you were given for non critical roles?
(Critical Roles: Forklift, QA Inspector and Machine Operators)
",We were not a provider last season,0
"
If you were a provider of ours last season what was your monthly fill rate % of the requisitions you were given for critical roles by position?
(Critical Roles: Forklift, QA Inspector and Machine Operators)
",We were not a provider last season,0
"
How do you assess reasons for employees exiting the organization (ex. Exit interviews) and share an example of how you implement improvements based on the feedback?
","When an associate leaves an assignment, we do our best to contact both the worksite and the associate in the exit interview process and assess the reason for leaving. Details are logged on the assignment record and a reason for leaving category is selected. During our quarterly business review process the turnover is then presented along with a section dedicated to our Observations, Actions and Recommendations for the coming quarters.",0
"
Do you offer a satisfaction guarantee? 
If so what are the parameters?
",,0
"
How do you measure your client satisfaction and what is your most recent satisfaction score?
","Our client satisfaction is measured through surveys sent out to each client every six months. The question ""How likely is it that you would recommend Partners Personnel to a friend or colleague?"" is rated as a Net Promoter Score with a 9 to 10 score giving an NPS of 1, a 7 to 8 giving a 0 and anything below giving a -1. For period 7 we received 17 responses that gave us an NPS score of 58.82%",0
"
What is your most recent satisfaction score for the employees you've placed?
","We continually hold ourselves accountable to the satisfaction of the associates we place out on assignment. Our branches are scored weekly on the first day follow up calls to associates recently placed. Additionally, our on-site representatives conduct weekly associate satisfaction surveys on 10% of the population, scored weekly on the completion percentage, to ensure we trend in the right direction with happy associates and a good work environment.",0
"
For our CA facilities an on-site coordinator will be requested if you provide over 100 employees to our facility. For our TX facilities we will request you provide an on-site coordinator if you provide over 40 employees to our facilities.  We will provide office space, furnishings, internet access and any additional resources if needed.  The expectation of the coordinator will be attendance and arrival calls, presence in and around the production facility, address safety concerns as needed, payroll and data entry, coordinate and conduct new-hire orientations, and manage the overall headcount of Assigned Employees based on Wonderful Citrus needs.
",,0
"
What claims have you had related to DFEH and EEOC?
","Short Matter Name Organizational Unit > Org. Unit (w/ path) Matter Group Type > Matter Group Type (w/ path) Matter: Open/Closed Lead Company Person > Full Name Lead Firm > Firm: Short Name Description Start Date Comment
Conrad, Amy Partners Personnel - Management Services, LLC Litigation/Dispute > Regulatory Open Moro, Christian Ford Harrison Conrad filed a charge of discrimination with the EEOC alleging she was discriminated against because of her age (Age Discrimination in Employment Act of 1967) and religion (Title VII of the Civil Rights Act of 1964.) 44305 Position Statement filed 8/9/2021. Awaiting EEOC deterimination.
Jackson, Deanna Partners Personnel - Management Services, LLC Litigation/Dispute > Regulatory Open Moro, Christian N/A EEOC Charge alleging disability discrimination under Title VII and the ADA 44410 Position Statement filed 8/12/2021. Awaiting EEOC deterimination.
Johnson, Tari Partners Personnel - Management Services, LLC Litigation/Dispute > Regulatory Open Moro, Christian Gordon & Rees LLP Charge of race discrimination, Gov. Code 12940 43552 Insufficient Evidence deterimination from EEOC on 5/3/2021. Johnson has until 5/3/2022 to file a civil complaint. 
Oates, Kristopher Partners Personnel - Management Services, LLC Litigation/Dispute > Regulatory Closed Moro, Christian Ericksen Arbuthnot Charge of Discrimination - Race and Retaliation 44155 Position Statement filed 2/17/2021. Awaiting EEOC Determination.
Vargas, Juan Partners Personnel - Management Services, LLC Litigation/Dispute > Regulatory Closed Moro, Christian N/A Charge of Gender Discrimination 43896 Settlement with EEOC executed on 10/14/2020 
Perez Oscar J Partners Personnel - Management Services, LLC Litigation/Dispute > Regulatory Active Moro, Christian N/A Charge of Discrimination - Race and Retaliation 43733 Request for Information Response filed 04/08/2021. Awaiting EEOC determination.  ",0
"
Arbitration agreements required for every staffing agency employee, do you have any issues with this requirement?
",We do not have any objections to this.,0
